Angle	Frequency	RCS	EsX.real	EsX.imag	EsY.real	EsY.imag	EsZ.real	EsZ.imag	JX.real	JX.imag	JY.real	JY.imag	JZ.real	JZ.imag
0.00	9.0000	-0.739287	2.501177e-01	6.754720e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	9.0500	-2.314654	2.160226e-01	-5.923747e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	9.1000	-4.452914	1.635404e-01	-4.239670e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	9.1500	-6.990223	1.176403e-01	-4.554488e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	9.2000	-9.182718	9.219913e-02	-3.323830e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	9.2500	-10.100987	8.440254e-02	-2.551570e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	9.3000	-10.375438	7.902375e-02	-3.246478e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	9.3500	-11.265399	5.971058e-02	-4.879543e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	9.4000	-13.226398	2.058828e-02	-5.798154e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	9.4500	-14.690844	-2.858445e-02	-4.341724e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	9.5000	-12.514263	-6.678542e-02	-7.417757e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	9.5500	-9.467407	-7.331403e-02	6.017518e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	9.6000	-7.435794	-4.015413e-02	1.129137e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	9.6500	-6.403746	2.190689e-02	1.331710e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	9.7000	-6.129996	8.711896e-02	1.086729e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	9.7500	-6.380145	1.268704e-01	4.709134e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	9.8000	-6.955712	1.237696e-01	-2.686285e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	9.8500	-7.749860	8.020711e-02	-8.322709e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	9.9000	-8.775579	1.674751e-02	-1.013362e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	9.9500	-10.076120	-3.886180e-02	-7.943076e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	10.0000	-11.564182	-6.619246e-02	-3.419893e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00


